tweets
didnt have one yet figured it was a good time to get one aliens and solana skins are tempti
good day today very productive and constructive gn solana purple heart
it is a good day to be okay ok hand newprofilepic
lmaoo its all good mate
i hope this means something good lol also hey bro
that actually sounds really good ngl
listening to film scores from animated movies and editing make a good combogn to everyone reading this smile
adorable sad your good doggo is resting in peace purple heart purple heart
mf the stage is full tf am i supposed to do
i just wanna say to everyone i met in nyc all of you are such incredibly amazing people and i am so proud to be ass
just caught up to the most recent episode  fuck me man
just start an nft project with different variations of your dog and then submit him to nftinspects algoezpz
i need them on a spaces for straight hours just for me to repeat to them  why ”
have i ever told you that you sound just like my mother
personally i would rather go for mayc there is just enough benefits to it without risking so much capital coul
sure lemme just take out a few loans against my nfts
i was buying at sol now i m buying again 🫡 🫡 🫡 buying okaybear at sol no otc just list the
sometimes being original does not mean being the first to accomplish somethingsometimes it just means doing it differently
what part of-mf i said duppies will do great i just don't agree with not showing any art
this drug nft meta going around on sol right now man i am just gonna say it trippin balls was ahead of its time sneezing face
just a reminder if this all does go to the only thing you have left is your friends in this space be kind to them please solana purple heart 🫡
i have a strange urge to just liquidate enough for sol and start over again just based on the connections i have m
it just felt like the perfect place to sprout from yknow
just remember friends it can always go down another furthergn smile
you all talking about branding power meanwhile its just this
just came from eth bought my first solana-nft bear wagbo
every conversation i have with nich is just us being getting mad at each other for being self destructive and then
just put in a leave of absence today im terrified smiling face with tear
breaking free from the shackles of cartoon animal pfps and moving into the world of just animal pfps
if he wants an nft i will just send him one his odds of winning that giveaway is or less lmao
bro just barely slid in but fuck i am honoured to be amongst the greats handshake
can we just appreciate this absolute line up of fucking legends on solana all repping the okay bears like you can
i swear im not fading you i just missed it
just remember cmeister promised sol
no ser its just a shitpost i dont care how much money anyone has as long as theyre being responsible with it
maybe i am purposely bad just to keep it going man shrugging
holythe magic eden yacht is moving right now
i know that the crypto market is in shambles right now but i kinda want a cryptopunk
okay for we can all agree nose rings are fire as fuck right like never seen em look bad on anyone
i have absolutely no idea wtf is going on right now but its funny as hell to watch
fuck my portfolio my interactions are down so bad right now bro pensive face
weird that eth is sol right now which in total is like anyways gn
you're right corz thats why im still holding onto my neo tokyo smile smile smile smile
someone send tm to right now pls
you know what i could go for right now
not right before bed
from left to right vance ellison bradford briggs quincy rolland lennox sterling
i needed a boost but you are probably right
lmfao it may sound hypocritical considering my micro following but we all know i dont have the power to mov
forgot i even did that lol love u melty
i love it too ser happy to be repping the set for ls
lol nfa of course and please never listen to me too much but much love homie
i actually love my friends smiling face with hearts
i would love to mint them all for like and give the money to the artist tbfh he worke
king shit love u
much love brother please take as much time to rest as you need purple heart
janik i love u so much though
bad bitch birthday time to be and chronically confused love u girlboss
wouldn't you love to know
love you king handshake
enjoy your influence while you still have it pleb
i know im late but stranger things got me so fucked up
i barely even know me
i am awaiting the comments for people to come in and let me know i am coping lol i did not w
my boss does not know i make more flipping jpegs
you fucking dumb shit dont even know the difference between  owner ” and  founder ” holy t
anyone else that wants to capitulate out of because they feel some type of way about the let me know
bro where the fuck is why isn't she here
fuck man i felt this used to own a mayc earlier this year and i miss him tons i am hoping to enter the ne
oh fuck ur not kidding lolol
oh for fuck sakes
fuck it time for a shoey
fuck your favorite influencer all his tweets are about cock and ball
fuck part
mf took his figures and ran then blocked my ass fuck that mf
already did them today but fuck it lemme go again
fuck you bojack i am tryna sleep smfh
go bed
i have definitely not already gone to bed and this is definitely not a scheduled tweet butgn solano purple heart
happy birthday fam
lol happy to help ser
i am happy to announce that capones island a limited edition of is now live on partying facethreadbackhand index pointing down
thanks poopaloop happy to be here
we can't lose hope yet say something will grace us soon
bruh my dms are swamped lmao i promise i will get there eventually not ignoring you
trust me i prefer the overcoats too but i have seen some people pull off the pea
trust bro its not a honeypot
trust there is more than it seems
smile growing heart
growing heartgrowing heart
invincible holds a special place in my heart i have always had a soft spot for the teenage superhero
you finna kill it purple heart
spent some time outside today after yelling at greedy eth cuck maxis felt nicegn solana purple heart
introducing squishilands blue heart we are giving away whitelist spots to enter party popper check mark button follow check mark buttonlike rt
prepare for the worst then prepare for rock bottom then shoot for the bestgn everyonepurple heart
crazy day crazier week ahead crazy frisk coming soon family purple heart
gn homies and homettes purple heart
honestly cannot wait to get into a routine of thingsgn family purple heart
there is no discord smile
gn smile
actually doing a mix of disney dreamworks tn smile
gn brother smile
already done currently getting high and brainstorming new ideas smile
thanks for putting me on smile
for you rambo i would be your blue chip anyday smiling face with hearts
i dont shitpost smiling face with sunglasses
same brother smiling face with tear
gm queen smiling face with heart-eyes smiling face with heart-eyes
anytime smiling face with hearts sick fracture btw
gn cas relieved face sleeping faceyawning faceface with hand over mouth smiling face woman getting massage light skin tone
me with foxes smiling face with tear
smiling face with hearts smiling face with hearts
lol its a joke brother saying more people need to unfollow
i hate you
i literally hate everyone on this app
i am forever coping about losing money i hate it here
mad hyped lfg
no lie stole my phone for all of those tweets actually crazy how big of a simp he is
crazy seeing people finally putting eyes on after so long it is heartwarming to see him finally ge
this one was the line i am so sick of your shitposts people are losing money and you wanna be funny on h
i am very excited for the day i get to do a mic drop
hold a do not worry we got you it is free
women that really like horses or disney world are always trouble steer clear boys
degods have proven themselves for sure and i see where they are coming from but i really fear this could
oh so yall can reply to my tweets huh okaywen matrica i am tired of being locked out of the discord because grape is shit
im sorry did you say back
i am sorry i am not a fan of this to each their own i guess but nfts revolve so heavily around art to
tom i am so sorry in advance but @beanzpfp
shout out to who saved my phone from me losing it in the taxi
bro please no loudly crying face
alright did some shopping i have no idea what i am doing though face with tears of joy
shooters shoot bro basketball
wait til sol dips another then we will see who is laughing about hedging against it with cartoon pics
i will literally do anything for attention please i need this
today solana nfts have proven to me that even if the world is on fire yall mfs will still be asking for wl spots i
bayc ape airdrop is now worth k for a k collectiontherefore smb monke airdrop will be worth k as a k
not tonight i cant i will do double tmr
slowly but surely we will get there
oh really guess i am not the only one thinking it
can not translate
i do not think i can
for what it is worth reptilian renegade did not do any dao collabs and they handed out all their whitelis
i agree but should not we try and prevent that
yeah it did happen on eth and it turns out to be disappointing every time i do not stres
not after minutes of clearing it no
me hearing the word  bubble ” for the th time this week only it is not about crypto or nfts
i am not having it bro
honestly i am not buying until has capitulated and exited all markets
it does not take much to get me distracted
idk who needs to hear this but gentle reminder your favourite influencers are not your friends their intentions a
my toxic trait is opening up dm's when i do not have time to answer them forgetting then never replying
gn poorsif you do not have an figure networth eat shit
theres no way you took the time to do all this lol
no comment at this time
lol okay yeah no fr
no this isn't the boys although i am finally watching the boys rn to this is invincible superhero
no fucking way
no i dont
i am bullish again and no one can tell me otherwise
no pensive face
no wonder the floor got swept today geniuses
w no you missed the whole point
dizzy no
never too late to front run him eyes
same shit i am never comin back from this sleepy face
don't tell me you've never seen this show
could never forget your honorary
never heard of her clown face
it is something i wish i understood earlier on but better late than never
nothing but chads in here
gm zero chance i am getting a wl so i drew one pirate flag
thank u artsy
im still waiting on the mfers of sol but i feel like that connotation has changed
sol is worthless anyways so what did he really gain
here's a question for all of our sol frenz who is your favorite artist or project art in the space besides
me waiting for eth to fall below so i can invest my
my gf is getting surgery and so all hopped up on drugs to ease the pain i called her today and she still thinks
that being said i dont think fcfs is the answer either so i dont have a proper soluti
our ponzi is better than yours because we said so ”
it is so humbling to see get the attention it so rightfully deserve crossed swords i've been here from the begi
besides being bullishaf on for their excellent art lore project vision revealed so far
dude i would have been digging whatever is left in my grave so quick
this was so quick wtf
you said giveaways are bad so i have resorted to thisnow nobody wins
he dumped me so i am dating the founder of his favorite nft project
literally screenshotted my pfp i am so far gone out of this shit my hairline cant take this anymore
so close lfggg
haha we are so early please
oh im so confused rn
so i am making progress
so how many do i need to become financially free
how so
fingers crossed then crossed fingers
tell em get their racks up then
wagbo indeednot financially but indeed
i think it is only fair i kinda did come up with your name ¯ ツ ¯
the strongest people in this space are the ones who are able to handle acceptance and simply move on bargaining an
lol if only
i think the only way to combat this is by starting okay cows
the only thing i want to accomplish this year is to make everyone who believed in me proud of me and make everyone who faded me regret it
