tweets
the tory brand has been destroyed tonight good riddance
what is good for the goose jacob this is a worst result than theresa mays are you now going to ask johnson to resign o
what is good for the goose jacob this is a worst result than theresa mays are you now going to ask johnson to resign
remember this everything to boris johnson is just a big joke and a good fun time please tory mps get a serious grip on this s
remember this everything to boris johnson is just a big joke and a good fun time please tory mps get a serious grip
the bbc reported for a couple of minutes yesterday good news office for national statistics figures c
good morning from somewhere in kherson region flag ukraineraised fist light skin tonewe came we saw we put them to sleepanother productive night
a cat that knows who the good guys are in the battle for ukraine flag ukraine freedom for ukraine flag ukraine give them jets from the west htt
check out the good liars's video tiktok all i can say is wow
i am following you alisa good luck kid keep your self and your family safe
a cat that knows who the good guys are in the battle for ukraine flag ukraine freedom for ukraine flag ukraine give them jets from the
breaking the west definitely over estimated how good the russian army would be in battle they have been useless in close co
breaking disgusting disgusting disgusting tory shame and shambles stick to organising parties it is all you are good at ht
breaking the west definitely over estimated how good the russian army would be in battle they have been useless i
do you think he has been told support boris and you get the job full time re tweet if you agree
at least bottles many empty glasses many raised full glasseslying bstrd i had to say goodbye to my nan hours be
what a total tosser you are the building was full of russian soldiers and being used as a local comma
this looks like a hypersonic missile attack being used again against a city full of innocent civilians what will
they cannot get out either hundreds of local volunteers in vans full of goods donated by the uk communities trying to get to
they cannot get out either hundreds of local volunteers in vans full of goods donated by the uk communities trying
doing some homework for his next position as a story writer for porn magazines no other respectable publication will employ
doing some homework for his next position as a story writer for porn magazines no other respectable publication w
we can all play that game archie you are just a racist idiot
who wants to be a millionaire and be able to prevent everybody else on lower incomes asking for a reasonable pay rise just u
just some of boris johnson's father's day cards being delivered at downing street
johnson's tory government will not know what is hit them in the winter it is bad enough just now but people will really be on th
johnson's tory government will not know what is hit them in the winter it is bad enough just now but people will reall
what do you just want to shoot them oh wait a minute they might shoot you instead you silly burger i mean you fu
johnson's speech today just proves his dead man walking government have not got a clue or any type of action plan to help us s
this is a person in a position that should have the highest standards of reproach and he has just failed
johnson's speech today just proves his dead man walking government have not got a clue or any type of action plan to
will any of this lot resign today before the vote or are they just all cowards
she has just realised the two years of fun is over and when she is he will be world's apart from what you look for out
she has just realised the two years of fun is over and when she is he will be world's apart from what you loo
just take your comments mr take and shove them where you think the sun shines most right up boris johnson's arse w
buckingham palace have just announced they have awarded boris johnson with this award for being the worst prime min
reporter john craig has just announced to viewers that he has spoken to a senior tory back bencher who tol
sky news reporter john craig has just told viewers that boris johnson will announce next week that the uni
richi sunak has just put himself in pole position again to replace johnson after his £ billion package to help t
please vladimir can you just declare war on us today and i might get out of the mess i am in
look vlad i know you got me out of trouble when you invaded ukraine but do you think you could just declare war on the west p
look vlad i know you got me out of trouble when you invaded ukraine but do you think you could just declare war on
the downing street cat has just announced that from next year the th of may will be a bank holiday and will be celebrating
partygate breaking news the downing street cat has just announced it is officially recognised that we are now living in a co
the downing street cat has just announced that from next year the th of may will be a bank holiday and will be ce
partygate breaking news the downing street cat has just announced it is officially recognised that we are now livi
i got off with it because i have people in senior positions in the met i am just a totally corrupt lying prime min
did you not understand the cooking instructions in your own oven ready deal boris just like you did not understand your own c
we deserve better than this they just have not got a clue
dear oh dear harry cannot you just wait till the police have reported back before you try to make up a further d
dear oh dear harry cannot you just wait till the police have reported back before you try to make up a
the law breaking prime minister who has just lost nearly seats in the local elections will the tory mps who will definit
just google this report days after the currie which includes a video of johnson in
just seen this do not see how it being pre-planned makes a difference to original reason they were feeding staff i ass
the law breaking prime minister who has just lost nearly seats in the local elections will the tory mps who wi
who has the nepotistic relationship between the tory party and the durham police whoever it is just like party ga
just admit it nadine you are making all of these mistakes because you are worried about your big dog
boris johnson has just found out nadine dorries has used frank dobsons picture in her lying tweet on twitter
i think mike they are selected to be able to brazenly lie their way out of any situation just like
is sky news becoming the tv buddies of the daily mail tory party spin and fake news machine just before
johnson just will not resign and the other tory liars keep making up stories to try and save him
johnson just will not resign we have been asking for him to go for ages but the tory liar
more tory lies durham police are not re investigating keir starmer you little tory liar just more gutter journalism tosse
another deaths today that is just under new deaths since monday we had a total of over deaths last week and thi
another deaths today that is just under new deaths since monday we had a total of over deaths last we
more tory lies durham police are not re investigating keir starmer you little tory liar just more gutter journal
that is dead in days this week we had just under deaths last week covid is running r
